1	17 
2	3 
3	12 
4	13 
5	11 
6	2 
7	7 
8	1 
9	14 
10	16 
11	4 
12	18 
13	8 
14	2 
15	19 
16	2 
17	13 
18	18 
19	15 
20	7 
21	12 
22	9 
23	19 
24	18 
25	11 
26	9 
27	3 
28	4 
29	4 
30	1 
31	11 
32	17 
33	17 
34	1 
35	2 
36	5 
37	17 
38	6 
39	14 
40	11 
41	3 
42	1 
43	14 
44	5 
45	13 
46	14 
47	13 
48	13 
49	5 
50	17 
51	10 
52	15 
53	2 
54	19 
55	20 
56	5 
57	2 
58	15 
59	7 
60	2 
61	16 
62	5 
63	14 
64	2 
65	1 
66	10 
67	9 
68	10 
69	5 
70	2 
71	15 
72	17 
73	12 
74	18 
75	12 
76	8 
77	4 
78	3 
79	20 
80	16 
81	15 
82	19 
83	20 
84	17 
85	7 
86	12 
87	17 
88	6 
89	15 
90	3 
91	2 
92	16 
93	9 
94	14 
95	6 
96	16 
97	9 
98	1 
99	18 
100	7 
101	3 
102	12 
103	10 
104	14 
105	10 
106	6 
107	4 
108	16 
109	14 
110	1 
111	9 
112	8 
113	13 
114	13 
115	15 
116	3 
117	7 
118	12 
119	17 
120	19 
121	12 
122	3 
123	11 
124	1 
125	20 
126	12 
127	2 
128	13 
129	13 
130	17 
131	20 
132	8 
133	20 
134	9 
135	9 
136	2 
137	10 
138	1 
139	8 
140	16 
141	3 
142	10 
143	14 
144	8 
145	12 
146	13 
147	2 
148	14 
149	20 
150	14 
151	9 
152	9 
153	6 
154	13 
155	4 
156	13 
157	5 
158	13 
159	11 
160	19 
161	1 
162	4 
163	18 
164	5 
165	10 
166	14 
167	2 
168	17 
169	1 
170	6 
171	8 
172	15 
173	20 
174	15 
175	12 
176	7 
177	9 
178	13 
179	4 
180	9 
181	14 
182	1 
183	13 
184	5 
185	6 
186	3 
187	20 
188	11 
189	2 
190	3 
191	5 
192	3 
193	19 
194	7 
195	12 
196	16 
197	10 
198	13 
199	14 
200	19 
201	5 
202	19 
203	10 
204	16 
205	14 
206	15 
207	14 
208	14 
209	8 
210	13 
211	4 
212	2 
213	18 
214	2 
215	9 
216	19 
217	1 
218	20 
219	1 
220	2 
221	11 
222	12 
223	1 
224	3 
225	17 
226	1 
227	8 
228	3 
229	2 
230	8 
231	1 
232	1 
233	12 
234	13 
235	6 
236	2 
237	4 
238	3 
239	1 
240	15 
241	15 
242	9 
243	1 
244	19 
245	1 
246	14 
247	14 
248	5 
249	5 
250	18 
251	13 
252	20 
253	16 
254	6 
255	14 
256	14 
257	2 
258	1 
259	4 
260	16 
261	12 
262	3 
263	12 
264	6 
265	19 
266	3 
267	7 
268	12 
269	8 
270	2 
271	5 
272	13 
273	2 
274	13 
275	13 
276	4 
277	18 
278	2 
279	3 
280	3 
281	17 
282	16 
283	17 
284	11 
285	7 
286	8 
287	13 
288	12 
289	1 
290	18 
291	3 
292	13 
293	8 
294	3 
295	3 
296	1 
297	19 
298	6 
299	14 
300	4 
301	10 
302	13 
303	1 
304	4 
305	13 
306	6 
307	18 
308	15 
309	8 
310	15 
311	5 
312	15 
313	1 
314	18 
315	19 
316	9 
317	1 
318	1 
319	1 
320	3 
321	4 
322	9 
323	13 
324	13 
325	11 
326	12 
327	13 
328	1 
329	17 
330	8 
331	13 
332	5 
333	14 
334	14 
335	7 
336	7 
337	12 
338	2 
339	17 
340	17 
341	10 
342	13 
343	16 
344	14 
345	11 
346	16 
347	2 
348	4 
349	12 
350	18 
351	9 
352	9 
353	12 
354	10 
355	9 
356	12 
357	11 
358	1 
359	2 
360	9 
361	1 
362	7 
363	2 
364	16 
365	12 
366	4 
367	3 
368	12 
369	14 
370	11 
371	14 
372	2 
373	1 
374	16 
